role,current_path,target_path,change_type,priority,notes
manuscript_figure_file,DISC/All_exal_2012-2016_DISC.png,Figures/manuscript/historical_summary_dry_period.png,rename_and_rewire,high,Historical dry-period summary
manuscript_figure_file,DISC/All_exal_2017-2019_DISC.png,Figures/manuscript/historical_summary_wet_period.png,rename_and_rewire,high,Historical wet-period summary
manuscript_figure_file,DISC/posterior_samples_valid.png,Figures/multivariate_synthesis_by_cutoff/cutoff_2022_12_25_multivariate_synthesis_with_reference_ensembles.png,rename_and_rewire,high,Representative synthesis figure promoted from the five-cutoff overlay source with retrospective and forecast-product references
manuscript_figure_file,DISC/80_component_1991_2022.png,Figures/manuscript/historical_component_80month.png,rename_and_rewire,high,Historical long-cycle component figure
manuscript_figure_file,DISC/posterior_samples_counter_valid.png,Figures/manuscript/reference_synthesis_univariate.png,rename_and_rewire,high,Reference univariate synthesis figure
support_panel_file,generated/setup_support_by_cutoff_v2_appendix/20210123_exal_m_t1_panel.png,Figures/appendix_cutoff_panels/cutoff_2021_01_23_setup_support.png,rename_and_rewire,medium,Support-only setup/support panel
support_panel_file,generated/setup_support_by_cutoff_v2_appendix/20211112_exal_m_t1_panel.png,Figures/appendix_cutoff_panels/cutoff_2021_11_12_setup_support.png,rename_and_rewire,medium,Support-only setup/support panel
support_panel_file,generated/setup_support_by_cutoff_v2_appendix/20211221_exal_m_t1_panel.png,Figures/appendix_cutoff_panels/cutoff_2021_12_21_setup_support.png,rename_and_rewire,medium,Support-only setup/support panel
support_panel_file,generated/setup_support_by_cutoff_v2_appendix/20220511_exal_m_t1_panel.png,Figures/appendix_cutoff_panels/cutoff_2022_05_11_setup_support.png,rename_and_rewire,medium,Support-only setup/support panel
support_panel_file,generated/setup_support_by_cutoff_v2_appendix/20221225_exal_m_t1_panel.png,Figures/appendix_cutoff_panels/cutoff_2022_12_25_setup_support.png,rename_and_rewire,medium,Support-only setup/support panel
table_file,generated/article_table_includes/table_benchmark_crps_block.tex,tables/generated_tex/benchmark_crps_main_table.tex,rename_and_rewire,high,Main benchmark CRPS table block
table_file,generated/article_table_includes/table_components_23_31_block.tex,tables/generated_tex/representative_covariate_effects_table.tex,rename_and_rewire,high,Representative covariate-effects table block
table_file,generated/article_table_includes/table_gamma_block.tex,tables/generated_tex/appendix_gamma_summary_table.tex,rename_and_rewire,high,Appendix gamma summary table block
table_file,generated/article_table_includes/table_sigma_block.tex,tables/generated_tex/appendix_sigma_summary_table.tex,rename_and_rewire,high,Appendix sigma summary table block
